MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIPO 10,02Year2,4/29/2002 12:00:00 AM,4,4,295,21,1,1,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 10,02Year5,6/20/2005 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 10,02Year5,6/20/2005 12:00:00 AM,1,1,114,23,1,0,0,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 10,02Year5,6/20/2005 12:00:00 AM,2,2,101,21,0,1,0,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 10,02Year5,6/20/2005 12:00:00 AM,3,3,169,4,1,0,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 10,02Year5,6/20/2005 12:00:00 AM,4,4,295,21,15,3,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 10,03Post,6/11/2009 4:31:51 PM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 10,03Post,6/11/2009 4:31:51 PM,-2147483648,1,114,23,1,0,0,PIPO,,,,,,,,,,,,,,,,
PIPO 10,03Post,6/11/2009 4:31:51 PM,-2147483647,2,101,21,0,0,0,PIPO,,,,,,,,,,,,,,,,
PIPO 10,03Post,6/11/2009 4:31:51 PM,-2147483646,3,169,4,1,1,0,PIPO,,,,,,,,,,,,,,,,
PIPO 10,03Post,6/11/2009 4:31:51 PM,-2147483645,4,295,21,0,0,0,PIPO,,,,,,,,,,,,,,,,
PIPO 10,03Year1,5/25/2010 4:33:40 PM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 10,03Year1,5/25/2010 4:33:40 PM,-2147483648,1,114,23,2,0,0,PIPO,,,,,,,,,,,,,,,,
PIPO 10,03Year1,5/25/2010 4:33:40 PM,-2147483647,2,101,21,1,1,0,PIPO,,,,,,,,,,,,,,,,
PIPO 10,03Year1,5/25/2010 4:33:40 PM,-2147483646,3,169,4,0,0,1,PIPO,,,,,,,,,,,,,,,,
PIPO 10,03Year1,5/25/2010 4:33:40 PM,-2147483645,4,295,21,1,0,0,PIPO,,,,,,,,,,,,,,,,
PIPO 10,03Year10,6/12/2019 10:35:33 AM,,,,,,,,,,,,,4,6,6,12,BANWELL,RIOS,,,,,True,
PIPO 10,03Year10,6/12/2019 10:35:33 AM,-2147483648,1,114,23,3,0,0,PIPO,R of JUOS @ 10'; Btwn PIPOs @ 51'; R of PIED @ 93',,,,,,,,,,,,,,,
PIPO 10,03Year10,6/12/2019 10:35:33 AM,-2147483647,2,101,21,8,1,0,PIPO,L of PIPO @ 6'; R of PIPO @ 31'; L of dead JUOS pole @ 90',,,,,,,,,,,,,,,
PIPO 10,03Year10,6/12/2019 10:35:33 AM,-2147483646,3,169,4,0,2,0,PIPO,R of PIED @ 16'; R of JUOS @ 67'; Btwn PIPO and PIED @ 92',,,,,,,,,,,,,,,
PIPO 10,03Year10,6/12/2019 10:35:33 AM,-2147483645,4,295,21,1,0,0,PIPO,L of PIPO @ 21',,,,,,,,,,,,,,,
PIPO 10,03Year2,5/26/2011 5:35:05 PM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 10,03Year2,5/26/2011 5:35:05 PM,-2147483648,1,114,23,2,0,0,PIPO,,,,,,,,,,,,,,,,
PIPO 10,03Year2,5/26/2011 5:35:05 PM,-2147483647,2,101,21,2,0,0,PIPO,,,,,,,,,,,,,,,,
PIPO 10,03Year2,5/26/2011 5:35:05 PM,-2147483646,3,169,4,0,0,0,PIPO,,,,,,,,,,,,,,,,
PIPO 10,03Year2,5/26/2011 5:35:05 PM,-2147483645,4,295,21,0,0,0,PIPO,,,,,,,,,,,,,,,,
PIPO 10,03Year5,5/20/2014 8:52:20 AM,,,,,,,,,,,,,4,6,6,12,Brannfors; Byrne,,,,,,True,
PIPO 10,03Year5,5/20/2014 8:52:20 AM,-2147483648,1,114,23,2,0,0,PIPO,R of JUOS @ 10'; Btwn PIPOs @ 51'; R oF PIED @ 93',,,,,,,,,,,,,,,
PIPO 10,03Year5,5/20/2014 8:52:20 AM,-2147483647,2,101,21,0,0,0,PIPO,L of PIPO @ 6'; R of PIPO @ 31'; L of dead JUOS pole @ 90',,,,,,,,,,,,,,,
PIPO 10,03Year5,5/20/2014 8:52:20 AM,-2147483646,3,169,4,0,1,0,PIPO,R of PIED @ 16'; R of JUOS @67'; Btwn PIPO and PIED @ 92',,,,,,,,,,,,,,,
PIPO 10,03Year5,5/20/2014 8:52:20 AM,-2147483645,4,295,21,0,0,0,PIPO,L of PIPO @ 21',,,,,,,,,,,,,,,
PIPO 10,Pre,10/12/1992 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 10,Pre,10/12/1992 12:00:00 AM,1,1,114,23,3,0,0,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 10,Pre,10/12/1992 12:00:00 AM,2,2,101,21,5,1,0,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 10,Pre,10/12/1992 12:00:00 AM,3,3,169,4,13,1,1,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 10,Pre,10/12/1992 12:00:00 AM,4,4,295,21,4,2,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 17,01Post,11/25/1997 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 17,01Post,11/25/1997 12:00:00 AM,1,1,276,1,4,1,2,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 17,01Post,11/25/1997 12:00:00 AM,2,2,79,4,6,3,3,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 17,01Post,11/25/1997 12:00:00 AM,3,3,240,5,7,0,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 17,01Post,11/25/1997 12:00:00 AM,4,4,230,3,2,1,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 17,01Year1,7/6/1998 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 17,01Year1,7/6/1998 12:00:00 AM,1,1,276,1,3,2,1,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 17,01Year1,7/6/1998 12:00:00 AM,2,2,79,4,10,2,0,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 17,01Year1,7/6/1998 12:00:00 AM,3,3,240,5,8,0,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 17,01Year1,7/6/1998 12:00:00 AM,4,4,230,3,8,1,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 17,01Year2,6/15/1999 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 17,01Year2,6/15/1999 12:00:00 AM,1,1,276,1,3,3,2,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 17,01Year2,6/15/1999 12:00:00 AM,2,2,79,4,8,6,1,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 17,01Year2,6/15/1999 12:00:00 AM,3,3,240,5,3,1,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 17,01Year2,6/15/1999 12:00:00 AM,4,4,230,3,1,7,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 17,01Year5,5/1/2002 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 17,01Year5,5/1/2002 12:00:00 AM,1,1,276,1,3,3,1,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 17,01Year5,5/1/2002 12:00:00 AM,2,2,79,4,16,3,1,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 17,01Year5,5/1/2002 12:00:00 AM,3,3,240,5,3,0,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 17,01Year5,5/1/2002 12:00:00 AM,4,4,230,3,10,3,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 17,02Post,11/16/2002 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 17,02Post,11/16/2002 12:00:00 AM,1,1,276,1,3,2,0,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 17,02Post,11/16/2002 12:00:00 AM,2,2,79,4,9,1,1,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 17,02Post,11/16/2002 12:00:00 AM,3,3,240,5,2,1,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 17,02Post,11/16/2002 12:00:00 AM,4,4,230,3,8,3,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 17,02Year1,5/20/2003 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 17,02Year1,5/20/2003 12:00:00 AM,1,1,276,1,3,2,0,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 17,02Year1,5/20/2003 12:00:00 AM,2,2,79,4,15,3,2,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 17,02Year1,5/20/2003 12:00:00 AM,3,3,240,5,0,1,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 17,02Year1,5/20/2003 12:00:00 AM,4,4,230,3,5,3,1,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
